Player,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Taj Gibson,5.0,27.6,7.0,0.8,1.6,1.0,0.6,5.0,21.8,0.18115942028985507,0.7898550724637681,21.78088183735283,116
Talen Horton-Tucker,3.0,10.2,3.0,0.2,0.6,0.0,0.4,6.8,12.3,0.6666666666666667,1.2058823529411766,12.096566993812228,209
Taurean Prince,5.0,16.5,1.5,1.0,0.5,0.2,0.9,6.9,11.4,0.4181818181818182,0.6909090909090909,11.402405852989666,225
Terance Mann,12.3,16.2,2.1,1.0,0.5,0.2,0.7,6.2,11.4,0.3827160493827161,0.7037037037037037,11.612239981064024,220
Terence Davis,5.0,14.2,2.2,1.4,0.2,0.0,0.8,6.6,11.3,0.4647887323943662,0.795774647887324,11.152334557161879,230
Terrance Ferguson,4.0,10.5,1.0,0.3,0.3,0.0,0.3,1.5,3.8,0.14285714285714285,0.3619047619047619,3.751592401503344,350
Terrence Ross,5.5,19.2,2.8,0.6,0.5,0.2,0.9,10.0,15.7,0.5208333333333334,0.8177083333333334,15.467480438379903,166
Thaddeus Young,6.0,14.5,3.0,1.7,0.8,0.2,0.5,3.3,12.0,0.2275862068965517,0.8275862068965517,11.946005010508845,214
Thanasis Antetokounmpo,7.7,2.8,0.4,0.1,0.2,0.1,0.1,0.4,1.7,0.14285714285714288,0.6071428571428572,1.825008817668669,416
Thomas Bryant,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002796874699892493,457
Tim Hardaway Jr.,6.5,35.7,3.4,1.6,0.4,0.0,0.7,17.4,24.2,0.4873949579831932,0.6778711484593837,24.428891208856527,89
Timothé Luwawu-Cabarrot,5.0,14.0,1.7,0.8,0.3,0.0,0.8,6.1,9.3,0.43571428571428567,0.6642857142857144,9.444097641293368,253
Tobias Harris,9.8,37.0,8.2,3.0,0.8,0.5,1.2,17.4,34.5,0.47027027027027024,0.9324324324324325,34.469038741141986,43
Tony Bradley,4.0,6.0,2.9,0.4,0.2,0.2,0.4,3.2,7.8,0.5333333333333333,1.3,8.088052033556373,272
Tony Snell,9.0,7.3,0.6,0.2,0.2,0.1,0.4,0.6,2.1,0.0821917808219178,0.28767123287671237,2.110869462996135,408
Torrey Craig,15.2,14.0,2.6,0.6,0.3,0.3,0.4,4.3,9.6,0.3071428571428571,0.6857142857142857,9.713051797032776,249
Trae Young,9.0,37.7,3.8,8.6,1.2,0.2,4.7,24.5,41.5,0.649867374005305,1.1007957559681696,41.47062921223186,26
Tremont Waters,2.0,2.0,0.5,0.8,0.2,0.0,0.4,0.6,2.6,0.3,1.3,2.6165555068673356,393
Trent Forrest,4.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.4,0.9914550506253397,433
Trevor Ariza,4.0,24.0,5.8,0.5,0.8,0.3,0.8,4.8,15.0,0.19999999999999998,0.625,15.01358121844604,176
Trey Burke,6.0,12.7,1.3,1.0,0.5,0.1,0.4,5.3,9.7,0.4173228346456693,0.7637795275590551,9.759036388812532,247
Trey Lyles,7.0,16.9,5.7,0.7,0.3,0.0,0.4,6.6,15.0,0.3905325443786982,0.8875739644970415,15.003536294429008,178
Trey Murphy III,6.0,20.0,2.5,0.5,0.5,0.2,0.2,5.2,10.8,0.26,0.54,10.860416435091471,233
Tristan Thompson,5.3,13.1,4.4,0.6,0.3,0.4,0.7,4.3,11.9,0.3282442748091603,0.9083969465648856,11.888175212094795,217
Troy Brown Jr.,7.5,11.3,2.4,1.0,0.4,0.0,0.5,2.9,8.1,0.2566371681415929,0.7168141592920353,7.979004523459127,275
Troy Daniels,6.0,5.0,0.5,0.3,0.0,0.0,0.0,2.7,3.8,0.54,0.76,3.749641815163115,351
Ty-Shon Alexander,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.9683859728809725,413
Tyler Cook,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.6,2.4205394854177116,400
Tyler Herro,10.2,25.3,3.6,2.6,0.3,0.4,1.4,12.5,21.6,0.49407114624505927,0.8537549407114625,21.442135523609323,118
Tyler Johnson,6.0,16.0,1.3,1.4,0.2,0.2,0.4,8.0,12.1,0.5,0.75625,12.47680817134214,205
Tyrese Maxey,11.7,30.6,3.4,2.5,0.8,0.4,1.0,15.9,26.4,0.5196078431372549,0.8627450980392156,26.346092707410776,79
Tyson Chandler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002796874699892493,457
Tyus Jones,7.7,17.1,2.6,3.1,0.9,0.1,0.8,5.6,15.4,0.327485380116959,0.9005847953216374,15.565302105432181,165
Udoka Azubuike,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,1.236338980496811,424
Udonis Haslem,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.39999999999999997,0.6103844747098285,442
Vic Law,1.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,6.9,0.75,1.725,6.92632447438992,291
Victor Oladipo,7.0,25.9,3.4,1.9,1.5,0.3,2.1,13.3,23.5,0.5135135135135136,0.9073359073359074,23.505691536070238,98
Vincent Poirier,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.5,0.0,2.25,4.5347952386042065,331
Vlatko Čančar,4.0,3.6,0.7,0.3,0.1,0.1,0.4,1.6,2.9,0.4444444444444445,0.8055555555555555,3.0871380271534754,375
Wendell Moore Jr.,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-0.5,-1.023734891998855,459
Wenyen Gabriel,7.0,8.5,1.7,0.5,0.4,0.4,0.8,3.2,7.4,0.3764705882352941,0.8705882352941177,7.581269209569779,282
Wes Iwundu,5.0,15.2,2.2,0.8,0.6,0.4,0.6,4.2,10.4,0.27631578947368424,0.6842105263157895,10.439405074549997,241
