Player,Pos,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
De'Andre Hunter,SF,5.3,34.2,4.5,0.8,0.6,0.4,1.7,16.2,23.9,0.473684211,0.698830409,24.12771593,92
Josh Hart,SF,11,32.1,7.4,2.2,0.8,0.3,1.9,10.4,24,0.323987539,0.747663551,23.98415262,93
Herbert Jones,PF,6,37.7,3.3,1.8,1.8,0.8,1.3,10.7,23.9,0.283819629,0.633952255,23.84839525,94
Gordon Hayward,SF,5,31.4,4,2.8,1.4,0.4,1.4,10.8,23.8,0.343949045,0.757961783,23.79774239,95
Bruce Brown,SF,12,28.1,4.6,2.3,1,0.6,1.5,11.3,23.6,0.402135231,0.839857651,23.56479823,96
Monte Morris,PG,11.3,27.1,2,4.5,0.9,0.1,0.9,12.3,23.7,0.453874539,0.874538745,23.56181078,97
Victor Oladipo,SG,7,25.9,3.4,1.9,1.5,0.3,2.1,13.3,23.5,0.513513514,0.907335907,23.50569154,98
Jordan Poole,PG,17.5,24.6,2.5,3.6,0.8,0.3,1.8,13.6,23.6,0.552845528,0.959349593,23.49173065,99
Kyle Anderson,PF,7,24.3,4.4,3.2,1.8,0.4,1,7.6,23.3,0.312757202,0.958847737,23.25311515,100
Patrick Williams,PF,5,30.6,5.4,0.8,1,0.6,1.4,11.8,22.9,0.385620915,0.748366013,22.88590777,101
Nic Claxton,C,6.7,21.5,5.7,1.2,0.6,1.7,0.5,7.8,22.9,0.362790698,1.065116279,22.85379252,102
D.J. Augustin,PG,5,25.6,2,6,0.2,0,2.4,13.2,22.8,0.515625,0.890625,22.83687747,103
Dennis Schröder,PG,9.7,30.4,2.9,3.1,0.9,0.2,1.8,13,22.4,0.427631579,0.736842105,22.6366629,104
Eric Gordon,SG,8.5,32,2,2.8,0.7,0.5,1.4,13.8,22.6,0.43125,0.70625,22.6224761,105
Bobby Portis,PF,12.3,21.5,7.7,0.9,0.6,0.4,0.9,9.7,22.2,0.451162791,1.03255814,22.38962397,106
Carmelo Anthony,PF,5.5,29.5,4.1,1.8,0.6,0.3,1.9,13.8,22.2,0.46779661,0.752542373,22.23875584,107
Rui Hachimura,PF,10.5,29.4,5.4,0.8,0.4,0.2,0.8,13.5,22.5,0.459183673,0.765306122,22.20485799,108
Dorian Finney-Smith,PF,8.8,33.5,5.6,2,1,0.4,1.4,9.6,22.2,0.286567164,0.662686567,22.12570992,109
T.J. Warren,SF,5,26.2,3.8,1.8,1.2,0.4,1.5,11.4,21.9,0.435114504,0.835877863,21.95390489,110
Kevin Huerter,SG,10,29.3,3.7,2.6,0.8,0.9,1.3,9.8,22,0.33447099,0.750853242,21.94865906,111
Derrick White,SG,21.5,27.6,3,2.4,0.8,0.8,1.1,11,21.7,0.398550725,0.786231884,21.89001806,112
Clint Capela,C,8.7,25.6,9,0.5,0.7,0.7,0.7,6.8,21.9,0.265625,0.85546875,21.85540402,113
Alec Burks,SG,4.5,24.7,4.4,2.2,0.2,0.4,0.8,12.2,22,0.493927126,0.890688259,21.81800468,114
John Collins,PF,9.7,27.9,5.9,1,0.4,0.6,1.3,11.5,21.7,0.41218638,0.777777778,21.79773457,115
Taj Gibson,C,5,27.6,7,0.8,1.6,1,0.6,5,21.8,0.18115942,0.789855072,21.78088184,116
Cameron Johnson,PF,12.7,27.9,4.1,1.7,0.7,0.2,1,12.5,21.7,0.448028674,0.777777778,21.67787861,117
Tyler Herro,SG,10.2,25.3,3.6,2.6,0.3,0.4,1.4,12.5,21.6,0.494071146,0.853754941,21.44213552,118
Seth Curry,SG,6.2,28.2,1.9,2.2,0.5,0.3,0.8,13.6,20.7,0.482269504,0.734042553,20.81047523,119
Justin Holiday,SF,4,32.8,3.8,0.8,1.5,1.3,0.8,7.3,20.7,0.222560976,0.631097561,20.65347053,120
Steven Adams,C,7,23.2,9,1.7,0.4,0.2,1.4,6.8,20.3,0.293103448,0.875,20.56313547,121
Keegan Murray,SF,7,27.7,6.3,0.7,0.6,0.3,0.6,9.7,20.4,0.350180505,0.736462094,20.42804277,122
Jerami Grant,PF,19,34.4,3.3,1.3,0.6,0.8,1.3,11.6,20.4,0.337209302,0.593023256,20.41721447,123
Royce O'Neale,SF,7,33.3,5.7,2.4,1,0.3,1,7,20.5,0.21021021,0.615615616,20.35049953,124
Larry Nance Jr.,PF,6,21.7,5.8,1.8,0.5,0.3,1,9.2,20.3,0.423963134,0.935483871,20.27493232,125
